date,post_time_local,brand,seq,image_file_id,image_filename,caption_ref,platforms,status
2026-06-27,08:00,MotiveAF,1,1Bg8doTKOSA3QdBPsU0zNt4Uf3YMIdU5R,"1 Future You Is Watching.jpg",MotiveAF_Captions_MASTER #1,fb+ig,QUEUED
2026-06-28,08:00,MotiveAF,2,1Dq6mi-zBAUZ0VZWMSxKlMIaxmpMcPthk,"2 average efforts average results.jpg",MotiveAF_Captions_MASTER #2,fb+ig,QUEUED
2026-06-29,08:00,MotiveAF,3,1AuWjE-I-E_GL-Dlz70pSuc0tqdQipCgo,"3 They bet against you they lose.jpg",MotiveAF_Captions_MASTER #3,fb+ig,QUEUED
2026-06-30,08:00,MotiveAF,4,1_Pz5xFwBj3oVudTGr7i885rCQfDDxn6-,"4 Hungry? Hunt.jpg",MotiveAF_Captions_MASTER #4,fb+ig,QUEUED
2026-07-01,08:00,MotiveAF,5,1EfGrx37N_0XWqr6cX7dnAaqbC9L_NoFN,"5 Full Power nothing Held Back.jpg",MotiveAF_Captions_MASTER #5,fb+ig,QUEUED
2026-07-02,08:00,MotiveAF,6,1UvgjuwV3c_95BNzv8mNw8iXXP8FJUSmi,"6 Loading Screen Over. Press Start.jpg",MotiveAF_Captions_MASTER #6,fb+ig,QUEUED
2026-07-03,08:00,MotiveAF,7,1sawEJ08aNtTUsWCtXGm4sVFK0LUuzpuS,"7 Main characters don't quit.jpg",MotiveAF_Captions_MASTER #7,fb+ig,QUEUED
2026-07-04,08:00,MotiveAF,8,1z6lJ3B-73w09v6SR5kNCA3F0wQBDDfdt,"8 Consistent beats heroic. Every time.jpg",MotiveAF_Captions_MASTER #8,fb+ig,QUEUED
2026-07-05,08:00,MotiveAF,9,1iMAJPFTxZNRu6OF8s_8KsM4tQl3kKsXD,"9 Burn what isn't working. Light the match.jpg",MotiveAF_Captions_MASTER #9,fb+ig,QUEUED
2026-07-06,08:00,MotiveAF,10,1iQJqf_EOD3j1jvSHilPB3EDTNlH_xbk8,"10 Fear with Better Plans. Execute.jpg",MotiveAF_Captions_MASTER #10,fb+ig,QUEUED
2026-07-07,08:00,MotiveAF,11,19SG6VbhawzXtBDwPgZIWq1sZMrVlSQin,"11 Wanted to Stop. Didn't. Character.jpg",MotiveAF_Captions_MASTER #11,fb+ig,QUEUED
2026-07-08,08:00,MotiveAF,12,1N0AGpmhiyOQyoiM_HTT2k_E0gispalAa,"12 Your time is now. Go.jpg",MotiveAF_Captions_MASTER #12,fb+ig,QUEUED
2026-07-09,08:00,MotiveAF,13,1kkUqMxGAikF5Pc15aQRLURq226nc3sks,"13 Discipline is self-respect. Period.jpg",MotiveAF_Captions_MASTER #13,fb+ig,QUEUED
2026-07-10,08:00,MotiveAF,14,1Bre3EG7dtnFQtMr5k57pTpNFglt4UD6V,"14 Comfort zone grows nothing.jpg",MotiveAF_Captions_MASTER #14,fb+ig,QUEUED
2026-07-11,08:00,MotiveAF,15,19KR0AiVelXsgMzkNk076Ym0Oc6Ekmuvk,"15 Average Efforts. Average Results.jpg",MotiveAF_Captions_MASTER #15,fb+ig,QUEUED
2026-07-12,08:00,MotiveAF,16,1ej4v10zekdxgAi5v1J6XPzkAJis2Gus6,"16 Full Power. Nothing Held Back.jpg",MotiveAF_Captions_MASTER #16,fb+ig,QUEUED
2026-07-13,08:00,MotiveAF,17,11JR92d9F287zs1fvQyNeF0HkbE3X5W_3,"17 Future you is Screamiong.jpg",MotiveAF_Captions_MASTER #17,fb+ig,QUEUED
2026-07-14,08:00,MotiveAF,18,13__XMghl7octO_nUqxwsbGwaakF-17Jy,"18 Not Behind. Warming Up.jpg",MotiveAF_Captions_MASTER #18,fb+ig,QUEUED
2026-07-15,08:00,MotiveAF,19,1oW5JC7LaXcdE5Ugt4oywu-tQly7P0DFC,"19 Stop Downgrading your dreams.jpg",MotiveAF_Captions_MASTER #19,fb+ig,QUEUED
2026-07-16,08:00,MotiveAF,20,1oNcyxV-uYmf0xSKVLRcSoIkOjVme25G2,"20 Not showing up. Showing Out!.jpg",MotiveAF_Captions_MASTER #20,fb+ig,QUEUED
2026-07-17,08:00,MotiveAF,21,1Yln3CVdd3gcJd56W8fekoBZca0C7YcdE,"21 The Grind is the shortcut.jpg",MotiveAF_Captions_MASTER #21,fb+ig,QUEUED
2026-07-18,08:00,MotiveAF,22,1ROBveqRNONN3N5_jWtZhiFa5ThZWHy0J,"22 Your Potential is embarrased.jpg",MotiveAF_Captions_MASTER #22,fb+ig,QUEUED
2026-07-19,08:00,MotiveAF,23,1bHNyx5ih04VaHR9qsqbT8kAkie_TzKta,"23 Stop Whining. Start Building.jpg",MotiveAF_Captions_MASTER #23,fb+ig,QUEUED
2026-07-20,08:00,MotiveAF,24,1JKO2OV4fs2nEtluCJLVDQ50xix-IczxP,"24 Feelings Don't Pay Bills.jpg",MotiveAF_Captions_MASTER #24,fb+ig,QUEUED
2026-07-21,08:00,MotiveAF,25,1Vg3d4vgjU7eCSqrT3aR4fR9yJjYMJVKJ,"25 Their Ceiling Your Floor.jpg",MotiveAF_Captions_MASTER #25,fb+ig,QUEUED
2026-07-22,08:00,MotiveAF,26,17au8ni6sA9pMh5v4HkNz_vFlhl5Yb2Uv,"26 Burn the Boats. Move Forward.jpg",MotiveAF_Captions_MASTER #26,fb+ig,QUEUED
2026-07-23,08:00,MotiveAF,27,1a7eXGFNrv-CyVFvu3L7jqdboszVCcCVq,"27 Main Characters Don't Quit.jpg",MotiveAF_Captions_MASTER #27,fb+ig,QUEUED
2026-07-24,08:00,MotiveAF,28,1-DMyyPb1bBSdEusVYKeIp5J1sFw7R4Nx,"28 Plot Armor Activated. Go.jpg",MotiveAF_Captions_MASTER #28,fb+ig,QUEUED
2026-07-25,08:00,MotiveAF,29,1QOjAdaWjVmGBhnnObF1UDNmdz2cbThhT,"29 One Percent Daily. Watch it compound.jpg",MotiveAF_Captions_MASTER #29,fb+ig,QUEUED
2026-07-26,08:00,MotiveAF,30,1DJMEhJh14yAMplnwZ9gk_u_QzSUz6tcs,"30 You snooze. They Grind.jpg",MotiveAF_Captions_MASTER #30,fb+ig,QUEUED
2026-07-27,08:00,MotiveAF,31,16lJf-a4hXK5hMmPPIzyIiLZ46qN-8wSI,"31 Stop Downgrading Your Dreams.jpg",MotiveAF_Captions_MASTER #31,fb+ig,QUEUED
2026-07-28,08:00,MotiveAF,32,1oTiSvaPfxRMZqGojeoWT0Z8xK7LKZdH_,"32 Stop Scrolling. Start Winning.jpg",MotiveAF_Captions_MASTER #32,fb+ig,QUEUED
2026-07-29,08:00,MotiveAF,33,1Z627io6RY8d68sA1ahejFNfzeCPd33X4,"33 Handled worse. This. Watch Me.jpg",MotiveAF_Captions_MASTER #33,fb+ig,QUEUED
